strain,stress
-0.000000000000000000e+00,-0.000000000000000000e+00
4.000333137810230255e-03,1.450858726864680648e+00
7.999968715012073517e-03,2.636684954166412354e+00
1.199979055672883987e-02,4.154861954506486654e+00
1.599993370473384857e-02,5.471410375088453293e+00
1.999928429722785950e-02,6.550296148285269737e+00
2.399908378720283508e-02,7.423102727159857750e+00
2.800061739981174469e-02,8.142106190323829651e+00
3.200063854455947876e-02,8.747918743640184402e+00
3.600130602717399597e-02,9.266594370827078819e+00
3.999888524413108826e-02,9.714912315830588341e+00
4.399931803345680237e-02,1.010460239835083485e+01
4.799989610910415649e-02,1.044624229148030281e+01
5.200096219778060913e-02,1.074893894977867603e+01
5.600120127201080322e-02,1.101851710304617882e+01
5.999952554702758789e-02,1.125948520004749298e+01
6.400122493505477905e-02,1.147548090480268002e+01
6.799999624490737915e-02,1.166930661164224148e+01
7.200177013874053955e-02,1.184350191988050938e+01
7.599955797195434570e-02,1.200005235709249973e+01
7.999832183122634888e-02,1.214075949601829052e+01
8.400037139654159546e-02,1.226734254322946072e+01
8.800123631954193115e-02,1.290654499083757401e+01
9.200063347816467285e-02,1.449261730909347534e+01
9.599869698286056519e-02,1.603584530204534531e+01
9.999967366456985474e-02,1.754310382902622223e+01
1.040003299713134766e-01,1.969795762002468109e+01
1.080013066530227661e-01,2.257878107205033302e+01
1.119993701577186584e-01,2.541017577424645424e+01
1.159987673163414001e-01,2.813135244324803352e+01
1.199996247887611389e-01,3.077089103200705722e+01
1.240016818046569824e-01,3.351180649362504482e+01
1.280004382133483887e-01,3.617601744085550308e+01
1.319982260465621948e-01,3.862912202626466751e+01
1.360000073909759521e-01,4.085118065774440765e+01
1.399987787008285522e-01,4.275334602594375610e+01
1.440004706382751465e-01,4.441516502201557159e+01
1.479987949132919312e-01,4.585386885702610016e+01
1.519990414381027222e-01,4.709413653612136841e+01
1.560001075267791748e-01,4.819485555589199066e+01
1.600006818771362305e-01,4.920675183832645416e+01
1.640011072158813477e-01,5.010520972311496735e+01
1.679986864328384399e-01,5.094608280062675476e+01
1.719993650913238525e-01,5.168059200048446655e+01
1.759993880987167358e-01,5.230934448540210724e+01
1.800009161233901978e-01,5.283772042393684387e+01
1.840007156133651733e-01,5.326470230519771576e+01
1.880000680685043335e-01,5.357731470465660095e+01
1.920002102851867676e-01,5.375656154751777649e+01
1.960000246763229370e-01,5.379058063030242920e+01
1.999996602535247803e-01,5.354276806116104126e+01
